user_id,date,role,department,n_events,cross_dept_ratio,n_distinct_patients,n_distinct_patient_depts,n_distinct_workstations,records_touched_sum,records_touched_max,export_ratio,search_ratio,peak_hour_events,burst_intensity,is_anomaly,attack_type,off_hours_ratio,new_workstation_ratio,rare_dept_ratio,z_n_events,z_n_distinct_patients,z_n_distinct_patient_depts,z_records_touched_sum,z_peak_hour_events,z_cross_dept_ratio
U0011,2026-08-20,nurse,radiology,55,0.1454545454545454,55,5,1,72,12,0.0,0.0727272727272727,15,0.2727272727272727,True,record_snooping,0.1818181818181818,0.0,0.1454545454545454,1.3489815189531904,1.3489815189531904,1.3489815189531904,1.839520253117987,1.1241512657943251,1.2876641771825903
U0011,2026-08-21,nurse,radiology,32,0.28125,32,6,1,43,11,0.0,0.03125,8,0.25,True,record_snooping,0.1875,0.0,0.28125,-0.2023472278429785,-0.2023472278429785,2.023472278429786,0.0613173417705995,-0.5058680696074465,3.119519762579253
U0013,2026-08-01,physician,radiology,22,0.1363636363636363,22,4,1,34,12,0.0,0.0454545454545454,7,0.3181818181818182,False,,0.0454545454545454,0.0,0.1363636363636363,0.269796303790638,0.269796303790638,0.6744907594765952,0.6226068549014725,-0.3372453797382976,0.2992012475939067
U0015,2026-08-01,physician,radiology,9,0.0,9,1,1,21,13,0.0,0.1111111111111111,4,0.4444444444444444,False,,0.0,0.0,0.0,-0.6744907594765952,-0.6744907594765952,-1.3489815189531904,0.2839961092533032,-1.011736139214893,-1.4001018634904152
U0016,2026-08-01,nurse,surgery,15,0.0,15,1,1,15,1,0.0,0.0,8,0.5333333333333333,False,,0.4666666666666667,0.0,0.0,-1.0117361392148927,-1.0117361392148927,-0.6744907594765952,-1.0423948101001923,0.0,-0.6744907594765952
U0017,2026-08-01,nurse,surgery,35,0.0285714285714285,35,2,1,43,7,0.0,0.0285714285714285,18,0.5142857142857142,False,,0.0,0.0,0.0285714285714285,-0.2075356183004908,-0.2075356183004908,0.0,-0.210778362336436,2.3607176581680838,-0.2541033434650456
U0018,2026-08-24,physician,oncology,17,0.8235294117647058,17,6,1,17,1,0.0,0.0,6,0.3529411764705882,True,record_snooping,0.0,0.0,0.4705882352941176,0.2594195228756135,0.2594195228756135,2.023472278429786,-0.2890674683471122,0.0,2.831770762824439
U0018,2026-08-25,physician,oncology,25,0.64,25,5,2,33,9,0.0,0.04,9,0.36,True,record_snooping,0.0,0.0,0.24,1.1803588290840417,1.1803588290840417,1.3489815189531904,0.8874878414165726,1.011736139214893,2.004799324454209
U0018,2026-08-26,physician,oncology,35,0.3428571428571428,35,6,2,62,12,0.0,0.1142857142857142,9,0.2571428571428571,True,record_snooping,0.0285714285714285,0.0,0.2571428571428571,2.304510094878367,2.304510094878367,2.023472278429786,2.946459633503021,1.011736139214893,0.638798018902588
U0018,2026-08-27,physician,oncology,34,0.2941176470588235,34,6,2,44,6,0.0,0.0588235294117647,11,0.3235294117647059,True,record_snooping,0.0,0.0,0.0588235294117647,2.1920949682989344,2.1920949682989344,2.023472278429786,1.6684771418631563,1.686226898691488,0.4281172670677413
U0018,2026-08-28,physician,oncology,11,1.0,11,4,1,11,1,0.0,0.0,7,0.6363636363636364,True,record_snooping,0.0,0.0,0.3636363636363636,-0.4817791139118537,-0.4817791139118537,0.4496605063177301,-0.6744907594765952,0.3372453797382976,3.626935607411199
U0018,2026-08-29,physician,oncology,45,0.3555555555555555,45,6,1,60,8,0.0,0.0444444444444444,10,0.2222222222222222,True,record_snooping,0.0,0.0,0.2444444444444444,3.428661360672692,3.428661360672692,2.023472278429786,2.8044615788763694,1.3489815189531904,0.7231113971795504
U0019,2026-08-01,nurse,er,27,0.0,27,1,1,36,6,0.0,0.037037037037037,10,0.3703703703703703,False,,0.2962962962962963,0.0,0.0,0.269796303790638,0.269796303790638,-0.6744907594765952,0.7226686708677805,0.6744907594765952,-0.7692307692307693
U0021,2026-08-01,physician,maternity,15,0.2,15,4,1,16,2,0.0,0.0,5,0.3333333333333333,False,,0.0,0.0,0.2,0.224830253158865,0.224830253158865,0.6744907594765952,-0.3372453797382976,-0.3372453797382976,0.2697963037906382
U0023,2026-08-01,lab_tech,er,20,0.45,20,6,1,27,8,0.0,0.05,12,0.6,False,,0.0,0.0,0.1,-0.7494341771962169,-0.7494341771962169,0.6744907594765952,-0.3794010522055848,1.3489815189531904,1.961558536982391
U0024,2026-08-01,lab_tech,er,24,0.375,24,6,1,25,2,0.0,0.0,9,0.375,False,,0.0,0.0,0.125,0.5620756328971627,0.5620756328971627,0.6744907594765952,-0.0963558227823707,0.6744907594765952,0.7904188587616351
U0025,2026-08-01,physician,maternity,13,0.1538461538461538,13,3,1,23,10,0.0,0.0769230769230769,7,0.5384615384615384,False,,0.0,0.0,0.1538461538461538,-0.8431134493457441,-0.8431134493457441,0.0,-0.0843113449345744,0.0,0.0
U0026,2026-08-01,nurse,er,18,0.0,18,1,1,18,1,0.0,0.0,7,0.3888888888888889,False,,0.0,0.0,0.0,-1.0492078480747036,-1.1803588290840417,-0.6744907594765952,-0.8820263777770861,-1.011736139214893,-0.7182888607413093
U0027,2026-08-01,physician,radiology,6,0.1666666666666666,6,2,1,9,4,0.0,0.1666666666666666,3,0.5,False,,0.0,0.0,0.1666666666666666,-1.011736139214893,-1.011736139214893,-0.6744907594765952,-0.5480237420747336,-1.1241512657943251,-0.1062787915888839
U0028,2026-08-01,nurse,radiology,29,0.0,29,1,1,33,3,0.0,0.0,12,0.4137931034482758,False,,0.0,0.0,0.0,-0.6744907594765952,-0.5246039240373518,-0.6744907594765952,-0.9274247942803184,0.3372453797382976,-0.4651162790697674
U0029,2026-08-01,nurse,icu,17,0.0588235294117647,17,2,1,24,8,0.0,0.0588235294117647,8,0.4705882352941176,False,,0.0,0.0,0.0588235294117647,-0.7099902731332581,-0.7494341771962169,0.0,-0.3679040506235974,0.0,0.3967592702803502
U0030,2026-08-01,physician,er,16,0.125,16,3,1,29,12,0.0,0.0625,10,0.625,False,,0.375,0.0,0.125,0.4046944556859571,0.5058680696074465,0.0,1.1241512657943251,1.011736139214893,-0.3372453797382975
U0031,2026-08-01,physician,maternity,6,0.0,6,1,1,7,2,0.0,0.1666666666666666,3,0.5,False,,0.0,0.0,0.0,-1.8548495885606369,-1.8548495885606369,-1.3489815189531904,-1.146634291110212,-1.686226898691488,-1.6862268986914877
U0032,2026-08-01,physician,er,3,0.0,3,1,1,3,1,0.0,0.0,2,0.6666666666666666,False,,0.0,0.0,0.0,-3.597284050541841,-3.597284050541841,-1.3489815189531904,-1.8548495885606369,-2.3607176581680838,-1.847518167261978
U0033,2026-08-01,nurse,er,18,0.0555555555555555,18,2,1,19,2,0.0,0.0,8,0.4444444444444444,False,,0.0,0.0,0.0555555555555555,-1.5176042088223392,-1.4613966455326228,0.0,-1.597478114549831,-0.6744907594765952,0.5844305844305844
U0036,2026-08-01,lab_tech,radiology,15,0.3333333333333333,15,5,1,26,12,0.0,0.0666666666666666,9,0.6,False,,0.9333333333333332,0.0,0.1333333333333333,-0.210778362336436,-0.210778362336436,0.6744907594765952,0.275928037967698,0.4496605063177301,0.4768296157887822
U0039,2026-08-01,nurse,icu,11,0.0909090909090909,11,2,1,11,1,0.0,0.0,7,0.6363636363636364,False,,0.0,0.0,0.0909090909090909,-1.2424829779832016,-1.2424829779832016,0.0,-1.605930379706179,-1.5738117721120557,1.1723484848484849
U0040,2026-08-01,nurse,oncology,26,0.0384615384615384,26,2,1,26,1,0.0,0.0,11,0.4230769230769231,False,,0.0,0.0,0.0384615384615384,-0.5395926075812761,-0.5395926075812761,0.0,-0.892068423823884,0.0,0.1720828191416427
U0041,2026-08-01,lab_tech,er,11,0.0909090909090909,11,2,1,11,1,0.0,0.0,7,0.6363636363636364,False,,0.0,0.0,0.0,-1.8885741265344669,-1.6555682278061885,-2.023472278429786,-1.5363400632522446,-0.6744907594765952,-2.146106961970985
U0047,2026-08-01,nurse,surgery,12,0.0,12,1,1,12,1,0.0,0.0,5,0.4166666666666667,False,,0.0,0.0,0.0,-1.7705382436260624,-1.7705382436260624,-1.0,-1.686226898691488,-1.686226898691488,-0.625
U0048,2026-08-01,lab_tech,er,21,0.1904761904761904,21,3,1,21,1,0.0,0.0,7,0.3333333333333333,False,,0.238095238095238,0.0,0.0,0.5058680696074465,0.5058680696074465,-0.6744907594765952,-0.1226346835411991,0.0,-0.7341396021513963
U0049,2026-08-01,nurse,radiology,8,0.0,8,1,1,8,1,0.0,0.0,8,1.0,False,,0.0,0.0,0.0,-1.2970976143780677,-1.4051890822429065,0.0,-1.2140833670578717,0.0,0.0
U0050,2026-08-01,nurse,er,9,0.0,9,1,1,11,3,0.0,0.1111111111111111,4,0.4444444444444444,False,,0.0,0.0,0.0,-0.8993210126354603,-0.9810774683295932,-1.0,-0.8852691218130312,-1.686226898691488,-0.8333333333333333
U0051,2026-08-01,physician,er,1,0.0,1,1,1,8,8,0.0,1.0,1,1.0,False,,0.0,0.0,0.0,-1.608401041828804,-1.608401041828804,-0.6744907594765952,-0.9810774683295932,-1.2140833670578717,-1.0791852151625525
U0053,2026-08-01,physician,surgery,24,0.2083333333333333,24,5,1,24,1,0.0,0.0,8,0.3333333333333333,False,,0.125,0.0,0.2083333333333333,-0.1839520253117987,-0.2023472278429785,0.6744907594765952,-1.011736139214893,-0.3372453797382976,0.9670939181658592
U0058,2026-08-01,nurse,oncology,3,0.0,3,1,1,3,1,0.0,0.0,3,1.0,False,,0.0,0.0,0.0,-2.293268582220424,-2.158370430325105,-0.6744907594765952,-1.2263468354119913,-1.1241512657943251,-0.6744907594765952
U0059,2026-08-01,physician,oncology,16,0.125,16,2,1,16,1,0.0,0.0,7,0.4375,False,,0.25,0.0,0.125,-0.4496605063177301,-0.4496605063177301,-0.6744907594765952,-1.1803588290840417,-0.3372453797382976,-0.0953084768825623
U0060,2026-08-01,nurse,radiology,10,0.0,10,1,1,10,1,0.0,0.0,4,0.4,False,,0.4,0.0,0.0,-1.93354017716624,-1.8126939160933493,-0.6744907594765952,-1.991353670835662,-2.697963037906381,-0.6066176470588235
U0065,2026-08-19,nurse,surgery,330,0.7757575757575758,319,6,2,2114,29,0.2787878787878788,0.003030303030303,166,0.503030303030303,True,after_hours_exfil,0.0121212121212121,0.0,0.7757575757575758,17.771365227948554,17.155525838861227,2.697963037906381,25.0,25.0,14.955710955710954
U0111,2026-08-07,nurse,er,40,0.3,39,5,1,53,11,0.0,0.025,10,0.25,True,record_snooping,0.0,0.0,0.3,0.1532933544264989,0.1284744303764943,2.023472278429786,0.6744907594765952,-0.5395926075812761,4.204170678723771
U0111,2026-08-08,nurse,er,50,0.28,50,6,1,58,8,0.0,0.02,13,0.26,True,record_snooping,0.0,0.0,0.28,0.8874878414165726,0.974264430355082,2.697963037906381,1.0294858960432245,0.4046944556859571,3.878926582843747
U0111,2026-08-09,nurse,er,31,0.2580645161290322,30,5,2,36,6,0.0,0.032258064516129,8,0.2580645161290322,True,record_snooping,0.064516129032258,0.0,0.2580645161290322,-0.429221392394197,-0.4598800632794967,2.023472278429786,-0.6438320885912955,-1.3489815189531904,3.5222072518785583
U0111,2026-08-10,nurse,er,70,0.1714285714285714,70,6,2,71,2,0.0,0.0,19,0.2714285714285714,True,record_snooping,0.1142857142857142,0.0,0.1714285714285714,2.307468387683089,2.473132784747516,2.697963037906381,1.95247325111646,2.023472278429786,2.1133157766379
U0111,2026-08-11,nurse,er,38,0.3421052631578947,37,5,2,59,12,0.0,0.0526315789473684,14,0.3684210526315789,True,record_snooping,0.131578947368421,0.0,0.3421052631578947,0.0306586708852997,-0.0306586708852997,2.023472278429786,1.10048492335655,0.6744907594765952,4.8888950911027695
U0111,2026-08-12,nurse,er,47,0.2340425531914893,46,6,2,53,5,0.0,0.0212765957446808,17,0.3617021276595745,True,record_snooping,0.0638297872340425,0.0,0.2340425531914893,0.5825147468206959,0.5781349366942244,2.697963037906381,0.6744907594765952,1.4838796708485096,3.131557171034329
U0111,2026-08-13,nurse,er,56,0.2142857142857142,56,6,2,63,4,0.0,0.0357142857142857,17,0.3035714285714285,True,record_snooping,0.0,0.0,0.2142857142857142,1.3134820052965277,1.4239249366728122,2.697963037906381,1.3844810326098531,1.4838796708485096,2.810267410666523
U0114,2026-08-07,physician,icu,244,0.8114754098360656,240,6,1,1659,29,0.2950819672131147,0.0,196,0.8032786885245902,True,after_hours_exfil,0.9590163934426228,0.0,0.8114754098360656,25.0,25.0,2.697963037906381,25.0,25.0,4.069059007989951
U0124,2026-08-19,nurse,surgery,63,0.365079365079365,61,6,2,164,14,0.0158730158730158,0.1746031746031746,11,0.1746031746031746,True,credential_compromise,0.2698412698412698,0.4444444444444444,0.365079365079365,5.620756328971626,5.395926075812762,5.0,16.637438733756014,1.1241512657943251,7.3015873015873
